"w1" "w2" "w3"
"1" "one" "of" "the"
"2" "a" "lot" "of"
"3" "thanks" "for" "the"
"4" "to" "be" "a"
"5" "going" "to" "be"
"6" "the" "end" "of"
"7" "as" "well" "as"
"8" "it" "was" "a"
"9" "i" "want" "to"
"10" "out" "of" "the"
"11" "be" "able" "to"
"12" "part" "of" "the"
"13" "some" "of" "the"
"14" "i" "dont" "know"
"15" "the" "rest" "of"
"16" "i" "have" "a"
"17" "i" "have" "to"
"18" "looking" "forward" "to"
"19" "thank" "you" "for"
"20" "cant" "wait" "to"
"21" "is" "going" "to"
"22" "i" "need" "to"
"23" "im" "going" "to"
"24" "the" "first" "time"
"25" "a" "couple" "of"
"26" "there" "is" "a"
"27" "end" "of" "the"
"28" "you" "have" "to"
"29" "you" "want" "to"
"30" "the" "fact" "that"
"31" "one" "of" "my"
"32" "this" "is" "a"
"33" "in" "the" "world"
"34" "most" "of" "the"
"35" "at" "the" "end"
"36" "to" "go" "to"
"37" "in" "the" "first"
"38" "is" "one" "of"
"39" "it" "is" "a"
"40" "to" "have" "a"
"41" "i" "dont" "think"
"42" "i" "love" "you"
"43" "this" "is" "the"
"44" "for" "the" "first"
"45" "all" "of" "the"
"46" "for" "the" "follow"
"47" "there" "is" "no"
"48" "you" "have" "a"
"49" "rest" "of" "the"
"50" "the" "united" "states"
"51" "according" "to" "the"
"52" "i" "had" "to"
"53" "of" "the" "year"
"54" "to" "be" "the"
"55" "in" "front" "of"
"56" "it" "would" "be"
"57" "i" "had" "a"
"58" "i" "think" "i"
"59" "dont" "want" "to"
"60" "if" "you" "are"
"61" "i" "have" "been"
"62" "of" "the" "day"
"63" "in" "order" "to"
"64" "to" "make" "a"
"65" "have" "a" "great"
"66" "i" "wanted" "to"
"67" "as" "much" "as"
"68" "at" "the" "same"
"69" "i" "am" "not"
"70" "to" "get" "a"
"71" "back" "to" "the"
"72" "to" "see" "the"
"73" "it" "will" "be"
"74" "in" "the" "past"
"75" "to" "see" "you"
"76" "when" "i" "was"
"77" "at" "the" "time"
"78" "i" "feel" "like"
"79" "the" "same" "time"
"80" "a" "bit" "of"
"81" "one" "of" "those"
"82" "want" "to" "be"
"83" "to" "do" "with"
"84" "would" "like" "to"
"85" "are" "going" "to"
"86" "of" "the" "most"
"87" "what" "do" "you"
"88" "let" "me" "know"
"89" "we" "need" "to"
"90" "in" "the" "middle"
"91" "if" "you" "have"
"92" "if" "you" "want"
"93" "we" "have" "a"
"94" "to" "get" "the"
"95" "i" "will" "be"
"96" "it" "was" "the"
"97" "a" "long" "time"
"98" "have" "to" "be"
"99" "to" "make" "it"
"100" "a" "little" "bit"
"101" "if" "you" "dont"
"102" "more" "than" "a"
"103" "was" "going" "to"
"104" "there" "was" "a"
"105" "because" "of" "the"
"106" "the" "middle" "of"
"107" "need" "to" "be"
"108" "go" "to" "the"
"109" "will" "be" "a"
"110" "as" "long" "as"
"111" "and" "it" "was"
"112" "i" "wish" "i"
"113" "to" "make" "the"
"114" "do" "you" "think"
"115" "i" "cant" "wait"
"116" "not" "going" "to"
"117" "it" "is" "the"
"118" "is" "not" "a"
"119" "the" "number" "of"
"120" "you" "need" "to"
"121" "in" "the" "s"
"122" "i" "dont" "have"
"123" "in" "the" "same"
"124" "a" "chance" "to"
"125" "i" "dont" "want"
"126" "in" "the" "us"
"127" "to" "be" "in"
"128" "and" "i" "have"
"129" "said" "in" "a"
"130" "there" "will" "be"
"131" "the" "university" "of"
"132" "to" "take" "a"
"133" "side" "of" "the"
"134" "were" "going" "to"
"135" "all" "the" "time"
"136" "in" "new" "york"
"137" "would" "be" "a"
"138" "you" "so" "much"
"139" "that" "i" "have"
"140" "for" "the" "rt"
"141" "it" "is" "not"
"142" "was" "one" "of"
"143" "a" "number" "of"
"144" "for" "me" "to"
"145" "of" "the" "world"
"146" "in" "the" "morning"
"147" "up" "in" "the"
"148" "when" "it" "comes"
"149" "would" "have" "been"
"150" "a" "part" "of"
"151" "would" "love" "to"
"152" "a" "way" "to"
"153" "has" "been" "a"
"154" "that" "it" "is"
"155" "as" "part" "of"
"156" "i" "have" "no"
"157" "i" "know" "i"
"158" "looking" "for" "a"
"159" "in" "the" "last"
"160" "the" "top" "of"
"161" "it" "comes" "to"
"162" "that" "it" "was"
"163" "and" "i" "was"
"164" "i" "hope" "you"
"165" "i" "was" "a"
"166" "so" "i" "can"
"167" "to" "do" "it"
"168" "had" "a" "great"
"169" "is" "the" "best"
"170" "im" "not" "sure"
"171" "is" "in" "the"
"172" "i" "would" "have"
"173" "that" "would" "be"
"174" "we" "have" "to"
"175" "many" "of" "the"
"176" "of" "the" "best"
"177" "dont" "have" "to"
"178" "for" "a" "while"
"179" "thanks" "for" "following"
"180" "to" "make" "sure"
"181" "in" "my" "life"
"182" "i" "think" "its"
"183" "on" "the" "other"
"184" "and" "i" "am"
"185" "but" "it" "was"
"186" "look" "forward" "to"
"187" "to" "see" "what"
"188" "wait" "to" "see"
"189" "i" "love" "the"
"190" "that" "i" "am"
"191" "you" "for" "the"
"192" "do" "you" "have"
"193" "for" "the" "next"
"194" "i" "am" "so"
"195" "up" "to" "the"
"196" "will" "have" "to"
"197" "it" "has" "been"
"198" "seems" "to" "be"
"199" "look" "at" "the"
"200" "what" "are" "you"
"201" "a" "great" "day"
"202" "cant" "wait" "for"
"203" "its" "going" "to"
"204" "top" "of" "the"
"205" "want" "to" "see"
"206" "going" "to" "have"
"207" "in" "the" "second"
"208" "of" "the" "season"
"209" "so" "much" "for"
"210" "was" "able" "to"
"211" "a" "bunch" "of"
"212" "back" "in" "the"
"213" "i" "decided" "to"
"214" "check" "it" "out"
"215" "that" "i" "was"
"216" "trying" "to" "get"
"217" "as" "soon" "as"
"218" "have" "to" "do"
"219" "i" "think" "the"
"220" "but" "i" "think"
"221" "he" "said" "the"
"222" "was" "in" "the"
"223" "all" "the" "way"
"224" "dont" "know" "what"
"225" "i" "was" "in"
"226" "he" "was" "a"
"227" "in" "addition" "to"
"228" "but" "it" "is"
"229" "check" "out" "the"
"230" "how" "are" "you"
"231" "i" "used" "to"
"232" "the" "new" "york"
"233" "to" "find" "a"
"234" "will" "be" "the"
"235" "you" "dont" "have"
"236" "he" "said" "he"
"237" "for" "a" "few"
"238" "in" "the" "end"
"239" "i" "think" "it"
"240" "happy" "mothers" "day"
"241" "members" "of" "the"
"242" "on" "the" "way"
"243" "the" "same" "thing"
"244" "i" "love" "it"
"245" "in" "love" "with"
"246" "part" "of" "a"
"247" "we" "want" "to"
"248" "going" "to" "get"
"249" "i" "am" "going"
"250" "and" "in" "the"
"251" "and" "it" "is"
"252" "and" "of" "course"
"253" "member" "of" "the"
"254" "to" "be" "able"
"255" "how" "do" "you"
"256" "of" "my" "favorite"
"257" "know" "how" "to"
"258" "am" "going" "to"
"259" "as" "a" "result"
"260" "i" "miss" "you"
"261" "is" "a" "good"
"262" "percent" "of" "the"
"263" "the" "way" "to"
"264" "i" "am" "a"
"265" "is" "a" "great"
"266" "the" "back" "of"
"267" "a" "few" "days"
"268" "a" "group" "of"
"269" "be" "sure" "to"
"270" "but" "i" "dont"
"271" "i" "know" "that"
"272" "in" "the" "next"
"273" "it" "to" "the"
"274" "need" "to" "get"
"275" "of" "the" "time"
"276" "that" "he" "was"
"277" "have" "a" "good"
"278" "i" "went" "to"
"279" "thank" "you" "so"
"280" "there" "was" "no"
"281" "wish" "i" "could"
"282" "all" "over" "the"
"283" "a" "series" "of"
"284" "at" "this" "point"
"285" "needs" "to" "be"
"286" "of" "the" "new"
"287" "to" "talk" "to"
"288" "id" "like" "to"
"289" "we" "had" "a"
"290" "when" "he" "was"
"291" "this" "is" "not"
"292" "a" "little" "more"
"293" "in" "a" "statement"
"294" "of" "the" "first"
"295" "to" "try" "to"
"296" "and" "i" "think"
"297" "one" "of" "them"
"298" "to" "do" "the"
"299" "i" "think" "that"
"300" "the" "kind" "of"
"301" "to" "get" "to"
"302" "be" "in" "the"
"303" "is" "expected" "to"
"304" "what" "to" "do"
"305" "at" "a" "time"
"306" "i" "got" "a"
"307" "i" "would" "like"
"308" "of" "my" "life"
"309" "supposed" "to" "be"
"310" "come" "up" "with"
"311" "in" "the" "united"
"312" "you" "know" "what"
"313" "be" "a" "good"
"314" "to" "keep" "the"
"315" "was" "the" "first"
