"w1" "w2" "w3" "w4" "w5"
"1" "at" "the" "end" "of" "the"
"2" "in" "the" "middle" "of" "the"
"3" "for" "the" "first" "time" "in"
"4" "by" "the" "end" "of" "the"
"5" "the" "end" "of" "the" "day"
"6" "thank" "you" "so" "much" "for"
"7" "for" "the" "rest" "of" "the"
"8" "its" "going" "to" "be" "a"
"9" "is" "going" "to" "be" "a"
"10" "there" "are" "a" "lot" "of"
"11" "i" "cant" "wait" "to" "see"
"12" "in" "the" "middle" "of" "a"
"13" "is" "one" "of" "the" "most"
"14" "at" "the" "top" "of" "the"
"15" "to" "be" "a" "part" "of"
"16" "happy" "mothers" "day" "to" "all"
"17" "cant" "wait" "to" "see" "you"
"18" "the" "end" "of" "the" "year"
"19" "for" "the" "first" "time" "since"
"20" "the" "other" "side" "of" "the"
"21" "thanks" "for" "the" "shout" "out"
"22" "thank" "you" "for" "the" "follow"
"23" "has" "nothing" "to" "do" "with"
"24" "i" "love" "you" "so" "much"
"25" "let" "me" "know" "if" "you"
"26" "for" "those" "of" "you" "who"
"27" "at" "the" "time" "of" "the"
"28" "at" "the" "same" "time" "i"
"29" "i" "thought" "it" "would" "be"
"30" "mothers" "day" "to" "all" "the"
"31" "the" "rest" "of" "the" "world"
"32" "this" "is" "going" "to" "be"
"33" "i" "think" "im" "going" "to"
"34" "on" "both" "sides" "of" "the"
"35" "on" "the" "other" "side" "of"
"36" "to" "be" "one" "of" "the"
"37" "as" "a" "result" "of" "the"
"38" "i" "have" "no" "idea" "what"
"39" "in" "the" "bottom" "of" "the"
"40" "keep" "up" "the" "good" "work"
"41" "the" "middle" "of" "the" "night"
"42" "am" "i" "the" "only" "one"
"43" "is" "a" "great" "way" "to"
"44" "thanks" "so" "much" "for" "the"
"45" "the" "rest" "of" "the" "day"
"46" "and" "the" "rest" "of" "the"
"47" "cant" "wait" "to" "see" "the"
"48" "hope" "you" "have" "a" "great"
"49" "i" "dont" "want" "to" "be"
"50" "you" "so" "much" "for" "the"
"51" "cant" "wait" "to" "see" "what"
"52" "the" "end" "of" "the" "month"
"53" "turned" "out" "to" "be" "a"
"54" "at" "the" "bottom" "of" "the"
"55" "at" "the" "end" "of" "a"
"56" "is" "one" "of" "my" "favorite"
"57" "it" "was" "going" "to" "be"
"58" "let" "us" "know" "if" "you"
"59" "thank" "you" "for" "the" "rt"
"60" "that" "awkward" "moment" "when" "you"
"61" "the" "right" "thing" "to" "do"
"62" "to" "come" "up" "with" "a"
"63" "when" "i" "was" "a" "kid"
